Run by AMM on 25 Nov 2016 18:22:40
Recall order is  Mykrobe Mykrobe Genefinder
disagreements: sites

          site |      Freq.     Percent        Cum.
---------------+-----------------------------------
           seu |         59        9.41        9.41
           chp |         47        7.50       16.91
          qacb |         46        7.34       24.24
         ccrcb |         44        7.02       31.26
           sei |         42        6.70       37.96
          dfrc |         37        5.90       43.86
          ccrb |         33        5.26       49.12
    aadeant6ia |         30        4.78       53.91
          blaz |         27        4.31       58.21
           seg |         26        4.15       62.36
         ccrcc |         23        3.67       66.03
         ccrca |         18        2.87       68.90
           scn |         18        2.87       71.77
          sasx |         15        2.39       74.16
          ermc |         12        1.91       76.08
       qaccsmr |         10        1.59       77.67
           sak |          8        1.28       78.95
          tetk |          8        1.28       80.22
        ant9ia |          7        1.12       81.34
          arcb |          6        0.96       82.30
          arcc |          6        0.96       83.25
          arcd |          6        0.96       84.21
          erma |          6        0.96       85.17
          lnua |          6        0.96       86.12
         lukmf |          6        0.96       87.08
          ccra |          5        0.80       87.88
           sec |          5        0.80       88.68
         tsst1 |          5        0.80       89.47
          dfra |          4        0.64       90.11
        lukpvs |          4        0.64       90.75
           sea |          4        0.64       91.39
           seh |          4        0.64       92.03
      aac6aph2 |          3        0.48       92.50
          fusc |          3        0.48       92.98
     grla/gyra |          3        0.48       93.46
          meca |          3        0.48       93.94
          sat4 |          3        0.48       94.42
           seb |          3        0.48       94.90
           sep |          3        0.48       95.37
    aaddaph4ia |          2        0.32       95.69
           etb |          2        0.32       96.01
           etd |          2        0.32       96.33
          fusa |          2        0.32       96.65
          fusb |          2        0.32       96.97
        lukpvf |          2        0.32       97.29
          mupa |          2        0.32       97.61
          qaca |          2        0.32       97.93
          rpob |          2        0.32       98.25
          tetm |          2        0.32       98.56
  apha3aph3iii |          1        0.16       98.72
          arca |          1        0.16       98.88
           cfr |          1        0.16       99.04
          dfrb |          1        0.16       99.20
          dfrg |          1        0.16       99.36
          ermb |          1        0.16       99.52
           eta |          1        0.16       99.68
          mphc |          1        0.16       99.84
          msra |          1        0.16      100.00
---------------+-----------------------------------
         Total |        627      100.00
disagreements: samples

           Sample_id |      Freq.     Percent        Cum.
---------------------+-----------------------------------
    RH11000301-155-1 |         21        3.35        3.35
 H094920323-271-A1-2 |         10        1.59        4.94
    H113640238-143-1 |          9        1.44        6.38
           C00003385 |          8        1.28        7.66
           C00003320 |          7        1.12        8.77
           C00003248 |          6        0.96        9.73
           C00003272 |          6        0.96       10.69
           C00003315 |          6        0.96       11.64
    H122880144-207-1 |          6        0.96       12.60
    H133580080-596-1 |          6        0.96       13.56
           C00003152 |          5        0.80       14.35
           C00003421 |          5        0.80       15.15
           C00003423 |          5        0.80       15.95
           C00003425 |          5        0.80       16.75
    H092520302-216-1 |          5        0.80       17.54
    H110740135-193-2 |          5        0.80       18.34
    H113560219-469-2 |          5        0.80       19.14
H114140657-280-B01-2 |          5        0.80       19.94
    H114160352-129-1 |          5        0.80       20.73
    H121120058-504-1 |          5        0.80       21.53
    H121320081-505-1 |          5        0.80       22.33
 H125000105-229-G0-2 |          5        0.80       23.13
    H125000105-833-2 |          5        0.80       23.92
    H133000236-626-1 |          5        0.80       24.72
    H133020301-629-1 |          5        0.80       25.52
    H133120386-618-1 |          5        0.80       26.32
    H133300151-657-1 |          5        0.80       27.11
    H133720214-574-1 |          5        0.80       27.91
    H133720215-575-1 |          5        0.80       28.71
    H133860126-577-1 |          5        0.80       29.51
    H133960276-571-1 |          5        0.80       30.30
           C00003134 |          4        0.64       30.94
           C00003207 |          4        0.64       31.58
           C00003317 |          4        0.64       32.22
           C00003340 |          4        0.64       32.85
           C00003377 |          4        0.64       33.49
           C00003382 |          4        0.64       34.13
           C00003393 |          4        0.64       34.77
           C00003406 |          4        0.64       35.41
H105040039-373-G12-2 |          4        0.64       36.04
    H114720434-145-1 |          4        0.64       36.68
           C00001086 |          3        0.48       37.16
           C00001446 |          3        0.48       37.64
           C00002656 |          3        0.48       38.12
           C00003140 |          3        0.48       38.60
           C00003229 |          3        0.48       39.07
           C00003301 |          3        0.48       39.55
           C00003318 |          3        0.48       40.03
